0xbf80df2fL ?vLoadFontFileView@@YGXPAGKPAPAU_FONTFILEVIEW@@KPAPAXPAKPAUtagDESIGNVECTOR@@K3PAPAVPDEV@@PAU_FNTCHECKSUM@@@Z
0xbf80e1c2L ?vSetUniqueness@PFFOBJ@@QAEXXZ
0xbf80e206L ??1PFFMEMOBJ@@QAE@XZ
0xbf80e269L _bLoadTTF_Cache@16
0xbf80e3d9L _ttfdSemLoadFontFile@28
0xbf80e460L sub_BF80E460
0xbf80e46fL sub_BF80E46F
0xbf80e4a2L ?LookUpFNTCacheTable@@YGKKPAGPAKPAPAU_FONTFILEVIEW@@KPAPAVPDEV@@PAUtagDESIGNVECTOR@@K@Z
0xbf80e545L ?LoadFontFile@PDEVOBJ@@QAEKKPAKPAPAX0PAUtagDESIGNVECTOR@@KK@Z
0xbf80e598L sub_BF80E598
0xbf80e61cL _bLoadFontFile@24
0xbf80e9c1L sub_BF80E9C1
0xbf80e9f6L ?bInsert@FHOBJ@@QAEHAAVPFEOBJ@@@Z
0xbf80eb26L ?bAddPFELink@FHOBJ@@QAEHPAU_HASHBUCKET@@IPAGAAVPFEOBJ@@H@Z
0xbf80ec98L _bMappedViewRangeCheck@16
0xbf80ecd5L ?bAddHash@PFFOBJ@@QAEHH@Z
0xbf80edb3L ?chpfeIncrPFF@PFTOBJ@@QAEKPAVPFF@@PAHKPAU_EUDCLOAD@@@Z
0xbf80ee5eL ?vLoadIncr@PFFOBJ@@QAEXK@Z
0xbf80ee81L ?vRevive@PFFOBJ@@QAEXXZ
0xbf80eeb7L ?bAllocPFEData@PFFMEMOBJ@@AAEHK@Z
0xbf80ef1dL ?QueryFont@PDEVOBJ@@QAEPAU_IFIMETRICS@@PAUDHPDEV__@@KKPAK@Z
0xbf80ef67L _ttfdQueryFont@16
0xbf80efa3L _bInitWinResData@12
0xbf80f135L ?MapFontFiles@@YG_NKPAPAU_FONTFILEVIEW@@PAPAXPAK@Z
0xbf80f1beL _BmfdLoadFontFileTE@28
0xbf80f242L sub_BF80F242
0xbf80f251L _bBmfdLoadFont@20
0xbf80f661L ?bLoadFonts@PUBLIC_PFTOBJ@@QAEHPAGKKPAUtagDESIGNVECTOR@@KPAKKPAPAVPFF@@KHPAU_EUDCLOAD@@@Z
0xbf80fb54L _IsAnyCharsetDbcs@4
0xbf80fbc4L ?bAddEntry@PFFMEMOBJ@@QAEHKPAU_FD_GLYPHSET@@KPAU_IFIMETRICS@@KPAU_UNIVERSAL_FONT_ID@@PAU_EUDCLOAD@@@Z
0xbf80fd16L ?bInit@PFEMEMOBJ@@QAEHPAVPFF@@KPAU_FD_GLYPHSET@@KPAU_IFIMETRICS@@KHPAU_UNIVERSAL_FONT_ID@@H@Z
0xbf810054L ?bComputeGISET@@YGHPAU_IFIMETRICS@@PAVPFE@@PAPAU_GISET@@@Z
0xbf81021aL _StringCchLengthA@12
0xbf810256L _bDescStr@12
0xbf810370L _strchr
0xbf810433L ?pPFFGet@PUBLIC_PFTOBJ@@QAEPAVPFF@@PAGKKPAUtagDESIGNVECTOR@@KPAPAPAV2@H@Z
0xbf8104b4L _vAlignHdrData@8
0xbf8105f7L _fsSelectionFlags@4
0xbf810640L _bConvertFontRes@16
0xbf8106eaL _jFamilyType@4
0xbf81070dL ?pwszName@FHOBJ@@QAEPAGAAVPFEOBJ@@@Z
0xbf810736L _pcpComputeGlyphset@16
0xbf8108cbL _bVerifyFNT@8
0xbf810b44L _vDefFace@8
0xbf810b9aL _vCheckOffsetTable@8
