0xbf96df6fL 1 1 _xxxAdvise@12
0xbf96e02cL 1 1 _xxxPoke@12
0xbf96e1a0L 1 3 _xxxAdviseData@12
0xbf8fb1c3L 1 6 _xxxDDETrackGetMessageHook@4
0xbf91101aL 1 2 ?UMPDDrvEscape@@YGKPAU_SURFOBJ@@KKPAXK1@Z
0xbf913e42L 1 1 ?UMPDDrvEnablePDEV@@YGPAUDHPDEV__@@PAU_devicemodeW@@PAGKPAPAUHSURF__@@KPAKKPAUtagDEVINFO@@PAUHDEV__@@1PAX@Z
0xbf9142b3L 1 1 ?UMPDDrvDriverFn@@YGHPAXPAH@Z
0xbf9147a3L 1 0 ?UMPDDrvCompletePDEV@@YGXPAUDHPDEV__@@PAUHDEV__@@@Z
0xbf91da4dL 1 1 ?UMPDDrvEnableDriver@@YGHPAGPAPAX@Z
0xbf921917L 1 1 ?UMPDDrvDisablePDEV@@YGXPAUDHPDEV__@@@Z
0xbf924967L 1 0 ?UMPDDrvResetPDEV@@YGHPAUDHPDEV__@@0@Z
0xbf9e02f4L 1 8 ?bDeleteLargeBitmaps@UMPDOBJ@@QAEHPAU_SURFOBJ@@00@Z
0xbf9e0397L 1 1 ?UMPDAllocUserMem@UMPDOBJ@@QAEPAXK@Z
0xbf9e041bL 1 19 ?RestoreBitmap@UMPDOBJ@@QAEXPAU_SURFOBJ@@PAX1HH@Z
0xbf9e051dL 1 2 ?UMPDMyDrvFree@@YGXPAVUMPDOBJ@@PAUDHPDEV__@@PAXK@Z
0xbf9e0be2L 1 0 ?UMPDDrvEnableSurface@@YGPAUHSURF__@@PAUDHPDEV__@@@Z
0xbf9e0c80L 1 0 ?UMPDDrvDisableSurface@@YGXPAUDHPDEV__@@@Z
0xbf9e0cceL 1 3 ?bSendLargeBitmap@UMPDOBJ@@QAEHPAU_SURFOBJ@@PAH@Z
0xbf9e0f84L 1 2 ?UMPDDrvEndDoc@@YGHPAU_SURFOBJ@@K@Z
0xbf9e1076L 1 2 ?UMPDDrvStartPage@@YGHPAU_SURFOBJ@@@Z
0xbf9e1162L 1 2 ?UMPDDrvSendPage@@YGHPAU_SURFOBJ@@@Z
0xbf9e124eL 1 2 ?UMPDDrvQueryPerBandInfo@@YGKPAU_SURFOBJ@@PAU_PERBANDINFO@@@Z
0xbf9e1370L 1 1 ?UMPDDrvDeleteDeviceBitmap@@YGXPAUDHPDEV__@@PAUDHSURF__@@@Z
0xbf9e13c4L 1 0 ?UMPDDrvDitherColor@@YGKPAUDHPDEV__@@KKPAK@Z
0xbf9e14ebL 1 1 ?UMPDDrvQueryFont@@YGPAU_IFIMETRICS@@PAUDHPDEV__@@KKPAK@Z
0xbf9e1611L 1 1 ?UMPDDrvQueryFontTree@@YGPAXPAUDHPDEV__@@KKKPAK@Z
0xbf9e179dL 1 0 ?UMPDDrvIcmCreateColorTransform@@YGPAXPAUDHPDEV__@@PAUtagLOGCOLORSPACEW@@PAXK2K2KK@Z
0xbf9e1881L 1 0 ?UMPDDrvIcmDeleteColorTransform@@YGHPAUDHPDEV__@@PAX@Z
0xbf9e18e8L 1 2 ?UMPDDrvIcmCheckBitmapBits@@YGHPAUDHPDEV__@@PAXPAU_SURFOBJ@@PAE@Z
0xbf9e1a43L 1 2 ?UMPDDrvStartDoc@@YGHPAU_SURFOBJ@@PAGK@Z
0xbf9e1b6fL 1 2 ?UMPDDrvDrawEscape@@YGKPAU_SURFOBJ@@KPAU_CLIPOBJ@@PAU_RECTL@@KPAX@Z
0xbf9e1cc0L 1 2 ?UMPDDrvStartBanding@@YGHPAU_SURFOBJ@@PAU_POINTL@@@Z
0xbf9e1dccL 1 2 ?UMPDDrvNextBand@@YGHPAU_SURFOBJ@@PAU_POINTL@@@Z
0xbf9e1ed8L 1 2 ?UMPDDrvQueryDeviceSupport@@YGHPAU_SURFOBJ@@PAU_XLATEOBJ@@PAU_XFORMOBJ@@KKPAXK3@Z
0xbf9e20daL 1 2 ?UMPDDrvPlgBlt@@YGHPAU_SURFOBJ@@00PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAUtagCOLORADJUSTMENT@@PAU_POINTL@@PAU_POINTFIX@@PAU_RECTL@@4K@Z
0xbf9e232aL 1 2 ?UMPDDrvRealizeBrush@@YGHPAU_BRUSHOBJ@@PAU_SURFOBJ@@11PAU_XLATEOBJ@@K@Z
0xbf9e24f2L 1 0 ?UMPDDrvDestroyFont@@YGXPAU_FONTOBJ@@@Z
0xbf9e2570L 1 0 ?UMPDDrvQueryFontData@@YGJPAUDHPDEV__@@PAU_FONTOBJ@@KKPAU_GLYPHDATA@@PAXK@Z
