0xbf98922eL _NtGdiDdNotifyFullscreenSpriteUpdate@8
0xbf852b43L _NtGdiGetBoundsRect@12
0xbf8780f4L _NtGdiSetDIBitsToDeviceInternal@64
0xbf878be3L _NtGdiGetNearestColor@8
0xbf8a568eL _NtGdiRectVisible@8
0xbf8ade63L _NtGdiGetRandomRgn@12
0xbf8b0d46L _NtGdiExtSelectClipRgn@12
0xbf8b0e0bL _NtGdiGetAppClipBox@8
0xbf8de10fL _NtGdiPolyTextOutW@16
0xbf921a32L _NtGdiSetIcmMode@12
0xbf9ab57bL _NtGdiCheckBitmapBits@32
0xbf9a8970L _NtGdiSetSystemPaletteUse@8
0xbf9ad061L _NtGdiSetMagicColors@12
0xbf9a983dL _NtGdiDescribePixelFormat@16
0xbf98923eL _NtGdiDdDestroyFullscreenSprite@8
0xbf80dc1aL _NtGdiAddFontResourceW@24
0xbf9a8c89L _NtGdiAddFontMemResourceEx@20
0xbf8bfe41L _NtGdiFlush@0
0xbf87bc0dL _NtGdiFontIsLinked@4
0xbf88bd79L _NtGdiGetWidthTable@28
0xbf8d6a1aL _NtGdiQueryFontAssocInfo@4
0xbf98f0d4L _NtGdiGetLinkedUFIs@12
0xbf9b0d8fL _NtGdiGetETM@8
0xbf95a8a2L _HideMouseTrails@16
0xbf916473L _NtUserChildWindowFromPointEx@16
0xbf90ad62L ?DxgkEngAddRedirBitmapD3DDirtyRgn@@YGXPAUHDC__@@PBUtagRECT@@@Z
0xbf91faadL _NtUserExcludeUpdateRgn@8
0xbf988401L _DxEngSpTearDownSprites@12
0xbf9112feL _NtGdiExtEscape@32
0xbf910c10L _NtGdiGetAndSetDCDword@16
0xbf9ab498L _NtGdiDeleteColorTransform@8
0xbf9ab1fcL _NtGdiCreateColorTransform@32
0xbf8281b0L _NtGdiDdDDISetDisplayMode@4
0xbf90955eL ?DxgkEngResetPointer@@YGXXZ
0xbf95588dL _NtUserShowSystemCursor@4
0xbf804570L _BuildAndLoadLinkedFontRoutine@24
0xbf9af83eL _NtGdiEudcLoadUnloadLink@28
0xbf839547L _NtGdiGetCharWidthInfo@8
0xbf850eedL _NtGdiGetTextExtentExW@32
0xbf8524ecL _NtGdiGetTextCharsetInfo@12
0xbf9a8a7aL _NtGdiGetTextExtent@20
0xbf876b30L _NtGdiGetTextMetricsW@12
0xbf87aea7L _NtGdiGetOutlineTextMetricsInternalW@16
0xbf884937L _NtGdiGetCharABCWidthsW@24
0xbf89d79fL _NtGdiGetRealizationInfo@8
0xbf9120a7L _NtGdiGetKerningPairs@12
0xbf91fae7L _NtGdiGetCharWidthW@24
0xbf9a9170L _NtGdiGetUFI@24
0xbf9a924eL _NtGdiGetEmbUFI@28
0xbf9af995L _NtGdiGetStringBitmapW@20
0xbf9a85d6L _NtGdiGetGlyphOutline@32
0xbf97d07eL _UserTextOutWInternal@24
0xbf98e64dL _NtGdiStartDoc@16
0xbf81b90aL _NtGdiEnableEudc@4
0xbf9a7e67L _NtGdiGetCharacterPlacementW@24
0xbf891fbaL _NtGdiGetGlyphIndicesW@20
0xbf8c3f56L _NtGdiExtGetObjectW@12
0xbf88b390L _NtGdiGetTextFaceW@16
0xbf8c162eL _NtGdiGetCharSet@4
0xbf8c42cbL _NtGdiGetDCDword@12
0xbf80b547L _DeviceClassNotify@8
0xbf90e132L _NtUserMagControl@8
0xbf8a5ae8L _NtUserSetImeOwnerWindow@8
